Résultats moyennés sur 10 simulations, avec N = 55
================================================================================
                                                                                        RMSE moyen      RMSE std     RMV moyen  Temps moyen (s)
KETKF-hyperbolique (infl=1.001, c=0.0001, reg=0.0001, sigma=1.0, deg=2, log_tr=True)  4.695890e-02  2.487985e-02  1.240349e-02        11.319850
KETKF-linear (infl=1.01, c=1.0, reg=0.001, sigma=1.0, deg=2, log_tr=True)             5.019031e-02  2.221518e-02  1.482802e-02        11.079248
KETKF-hyperbolique (infl=1.001, c=0.001, reg=0.0001, sigma=1.0, deg=2, log_tr=True)   5.207188e-02  2.655327e-02  1.323467e-02        11.365137
KETKF-lap (infl=1.01, c=1.0, reg=0.01, sigma=1.0, deg=2, log_tr=True)                 5.350875e-02  1.637469e-02  1.863601e-02        11.423695
KETKF-hyperbolique (infl=1.001, c=0.0001, reg=0.001, sigma=1.0, deg=2, log_tr=True)   5.444638e-02  1.797662e-02  8.726087e-03        11.360647
KETKF-hyperbolique (infl=1.001, c=0.01, reg=0.0001, sigma=1.0, deg=2, log_tr=True)    5.453623e-02  3.117727e-02  1.266594e-02        11.378310
KETKF-lap (infl=1.01, c=1.0, reg=0.0001, sigma=1.0, deg=2, log_tr=True)               5.527982e-02  3.078866e-02  1.738399e-02        11.381005
KETKF-linear (infl=1.01, c=1.0, reg=0.0001, sigma=1.0, deg=2, log_tr=True)            5.586515e-02  1.730660e-02  2.039723e-02        11.037507
KETKF-linear (infl=1.001, c=1.0, reg=0.001, sigma=1.0, deg=2, log_tr=True)            5.781626e-02  2.627386e-02  1.756822e-02        11.104448
KETKF-lap (infl=1.001, c=1.0, reg=0.001, sigma=1.0, deg=2, log_tr=True)               5.888921e-02  2.522292e-02  1.617299e-02        11.351763
KETKF-hyperbolique (infl=1.001, c=0.001, reg=0.001, sigma=1.0, deg=2, log_tr=True)    5.957979e-02  2.260497e-02  9.561167e-03        11.350444
KETKF-hyperbolique (infl=1.01, c=0.0001, reg=0.001, sigma=1.0, deg=2, log_tr=True)    6.061631e-02  3.054865e-02  1.576601e-02        11.315257
KETKF-lap (infl=1.001, c=1.0, reg=0.01, sigma=1.0, deg=2, log_tr=True)                6.216454e-02  4.872492e-02  1.437254e-02        11.452056
EnKF-PertObs (infl=1.001, trunc=True, rot=False)                                      6.276292e-02  3.314436e-02  1.075670e-01         9.853338
KETKF-lap (infl=1.05, c=1.0, reg=0.001, sigma=1.0, deg=2, log_tr=True)                6.296944e-02  2.241379e-02  1.604863e-02        11.612099
KETKF-linear (infl=1.001, c=1.0, reg=0.0001, sigma=1.0, deg=2, log_tr=True)           6.549034e-02  6.079840e-02  1.406236e-02        11.121459
KETKF-lap (infl=1.001, c=1.0, reg=0.0001, sigma=1.0, deg=2, log_tr=True)              6.575007e-02  4.397791e-02  1.627450e-02        11.426496
KETKF-linear (infl=1.05, c=1.0, reg=0.0001, sigma=1.0, deg=2, log_tr=True)            6.588898e-02  2.689428e-02  1.995504e-02        11.281108
